Judul,topics,probabilities
sistem pendukung keputusan pemilihan penanaman varietas unggul padi metode ahp topsis,17,1.0
optimasi penjadwalan mata pelajaran algoritme genetika studi smk negeri kediri,19,0.8962238780768874
analisis perbedaan pemahaman experienced nonexperienced smartphone user application permission,2,0.3344493796006625
analisis sentimen ulasan aplikasi mobile naive bayes normalisasi berbasis levenshtein distance studi aplikasi bca mobile,-1,0.0
pengembangan permainan berbasis augmented reality perangkat bergerak media meningkatkan kepedulian hewan langka,8,0.9323609870136702
analisis faktorfaktor memengaruhi niat pengguna internet fungsi single sign on google metode sem structural equation modeling,45,0.7483795822112324
optimasi biaya pemenuhan asupan gizi makanan anakanak metode simpleks fase,24,0.6883818530318282
analisis faktorfaktor memengaruhi sikap pengguna twitter pemberian informasi pribadi metode structural equation modeling sem,45,0.9363664664423799
implementasi metode fuzzy ahp optimasi particle swarm optimization pso rekomendasi pemilihan tanaman pomologi,-1,0.0
implementasi timing sync sensor networks jaringan sensor multihop,-1,0.0
analisis faktor faktor memengaruhi penggunaan smartphone metode structural equation modeling sem,-1,0.0
verifikasi citra tanda tangan berdasarkan ciri pyramid histogram of oriented gradient phog metode klasifikasi knearest neighbor,60,1.0
analisis performansi h h video streaming segi quality of service,-1,0.0
analisis perbandingan performansi protokol routing olsr solsr wireless mesh network,69,0.8803032144335002
klasifikasi berita twitter metode improved naive bayes,6,1.0
rekomendasi pemilihan properti kota malang metode ahpsaw,-1,0.0
implementasi algoritma modified knearest neighbor mknn klasifikasi penyakit demam,0,1.0
analisis estimasi biaya pembuatan perangkat lunak metode cocomo ii inagata technosmith studi sistem informasi monitoring evaluasi penerimaan beasiswa santri berprestasi uin malang,64,0.4610884464622799
perancangan arsitektur pembangunan webgis analisis kesesuaian lahan pertanian tanaman padi metode gismcda kota batu,-1,0.0
implementasi metode dempstershafer mendiagnosa penyakit tanaman padi,0,1.0
analisis perbandingan metode replikasi server kebutuhan pemulihan bencana studi sistem informasi geografis perusahaan xyz,51,0.8913587531951513
optimasi komposisi makanan penderita hipertensi metode particle swarm optimization,24,0.1385153013172185
pengembangan elektroniksistem akuntabilitas kinerja instansi pemerintah dinas perindustrian kota malang,-1,0.0
sistem pendukung keputusan pemilihan anggota pengurus harian pondok pesantren metode profile matching studi pondok pesantren putra sabilurrosyad,-1,0.0
pengembangan permainan edukasi simulasi astronomi teknologi mobile virtual reality,8,0.938918954901171
implementasi metode klasifikasi fuzzy knearest neighbor fknn fingerprint access point indoor positioning,-1,0.0
sistem pendeteksi kebocoran gas lpg metode fuzzy diimplementasikan real time operating system rtos,54,1.0
peramalan dosis pupuk berdasarkan karakteristik lingkungan tanaman jeruk siam metode backpropagation,-1,0.0
implementasi metode promethee ii menentukan pemenang tender proyek studi dinas perhubungan llaj provinsi jawa timur,-1,0.0
evaluasi usability perbaikan desain antarmuka pengguna situs web fakultas pertanian fp universitas brawijaya,-1,0.0
optimasi support vector regression svr algoritma improvedparticle swarm optimization ipso peramalan curah hujan,-1,0.0
implementasi algoritma genetika metode ahp saw rekomendasi varietas unggul tanaman tebu studi pusat penelitian gula ptpn x jengkol,19,0.3855725543274998
pengembangan game platformer d teknik projection mapping,-1,0.0
rancang bangun sistem klasifikasi frekuensi penggunaan minyak goreng metode bayes,85,1.0
pengembangan sistem peringatan kontrak kerja karyawan menerapkan pendekatan kolaboratif athena elisitasi kebutuhan studi pt surya optima nusa raya,-1,0.0
prediksi nilai tukar rupiah indonesia dolar amerika serikat metode recurrent extreme learning machine neural network,9,0.4537976689328524
peringkasan teks otomatis artikel berita kesehatan knearest neighbor berbasis fitur statistik,-1,0.0
sistem pendukung keputusan rekomendasi wirausaha metode ahptopsis studi kab probolinggo,17,0.9449851499834423
analisa kebutuhan perancangan sistem informasi produksi dinas peternakan kesehatan hewan kabupaten malang berbasis teknologi service oriented architecture,0,0.8122233328393824
manajemen bandwidth manajemen pengguna jaringan wireless mesh network mikrotik,-1,0.0
optimasi komposisi makanan penderita hipertensi algoritma genetika simulated annealing,24,1.0
penerapan bot frequently ask question faq filkom jejaring sosial twitter,-1,0.0
implementasi pervasive service discovery protocol rumah cerdas berbasis nrfl,-1,0.0
pelatihan feedforward neural network pso prediksi pengangguran terbuka indonesia,23,0.16521100937535538
implementasi metode improved kmeans mengelompokkan titik panas bumi,-1,0.0
implementasi naive bayes embedded system menentukan status gizi bayi,-1,0.0
peramalan suku bunga acuan bi rate metode fuzzy time series percentage change universe of discourse,34,1.0
deteksi penyakit kucing modified knearest neighbor teroptimasi studi puskeswan klinik hewan satwa sehat kota kediri,0,1.0
pengembangan user interface aplikasi guide me berbasis web pendekatan humancentered design,-1,0.0
prediksi follower official account line regresi algoritma genetika,-1,0.0
implementasi algoritma particle swarm optimization pso optimasi pemenuhan kebutuhan gizi balita,47,0.3526072424190916
implementasi metode profile matching weighted product seleksi staf operator komputer studi uptd pendidikan kecamatan tambakboyo kabupaten tuban jawa timur,-1,0.0
analisis pemodelan proses bisnis bidang pelayanan perizinan bussiness process model and notation bpmn studi dinas penanaman modal pelayanan terpadu pintu pemerintah kota malang,12,0.40442090264240294
optimasi biaya bahan menu makanan penderita penyakit jantung metode evolution strategies,24,1.0
optimasi scheduling proses extract transform load etl data warehouse metode round robin data partitioning studi universitas xyz,13,0.12719865218483373
pengembangan sistem aplikasi manajemen proyek berbasis web studi pt swadaya graha,1,1.0
implementasi complementary filter sensor accelerometer gyroscope keseimbangan gerak robot humanoid,20,0.6301029651707941
optimasi komposisi bahan makanan pasien rawat jalan penyakit jantung algoritme particle swarm optimization pso,24,0.13434501653423345
optimasi fungsi keanggotaan fuzzy tsukamoto algoritma genetika diagnosis autisme anak,-1,0.0
sistem rekomendasi bahan makanan penderita penyakit jantung algoritma genetika,24,1.0
sistem pakar diagnosis penyakit schizophrenia metode bayesian network,-1,0.0
perbaikan proses bisnis metode business process improvement bpi studi riset pemasaran pusat pelayanan pelanggan pt petrokimia gresik,-1,0.0
optimasi fuzzy inference system mamdani algoritme genetika menentukan siram tanaman strawberry,34,0.0833377200084357
prediksi panen tebu gabungan metode backpropagation algoritma genetika,23,0.2060202256831978
implementasi pengendalian quadcopter prinsip virtual reality google cardboard,8,0.8786613170690256
aplikasi perencanaan wisata malang raya algoritma greedy,83,0.9637606111170587
rekonstruksi dimensi video metode structurefrommotion studi wilayah pertambangan batubara,23,0.19721261387731778
pemodelan sistem pemantauan posisi kereta api berbasis rfid protokol message queue telemetry transport mqtt,108,1.0
evaluasi proses bisnis quality evaluation framework qef studi ud honda ii kepanjen ahass,28,1.0
pengembangan sistem pembelajaran pemrograman java atraktif berbasis website,-1,0.0
pemodelan evaluasi proses bisnis metode quality evaluation framework qef studi cv mulyo tani makmur,28,0.8487669724260036
analisis faktorfaktor memengaruhi website lazada structured equation modeling sem,-1,0.0
sistem rekomendasi lowongan pekerjaan fresh graduate metode weighted product berbasis android,10,1.0
pengelompokan lagu berdasarkan emosi algoritma fuzzy cmeans,87,0.9339673978875229
optimasi penjadwalan mata pelajaran kurikulum algoritme genetika studi sma negeri surakarta,19,1.0
analisis performa protokol n mikrokomputer raspberry pi,50,1.0
perbandingan performansi algoritme kriptografi advanced encryption standard aes blowfish text platform android,41,0.7204765228935387
pengembangan iot middleware berbasis eventbased protokol komunikasi coap mqtt websocket,56,1.0
analisis perbandingan performa algoritma round robin least connection load balancing software defined network,13,0.5055081621272155
implementasi gateway berbasis nrfl esp protokol message queue telemetry transport sensor network mqttsn,108,1.0
pengembangan sistem informasi ecomplaint studi grapari telkomsel malang,-1,0.0
pengembangan aplikasi pelatihan otot mata penderita miopia metode bates teknologi virtual reality,8,0.6970997181873922
hibridisasi algoritme genetika simulated annealing optimasi multitrip vehicle routing problem with time windows studi pariwisata kabupaten banyuwangi,83,1.0
penerapan algoritma hybrid pathfinding a boids game pesawat tempur,-1,0.0
evaluasi tata kelola sistem keamanan teknologi informasi framework cobit fokus proses apo dss studi pt martina berto tbk,-1,0.0
implementasi metode dempster shafer diagnosis penyakit tanaman jeruk,0,1.0
penentuan komposisi pakan ternak memenuhi kebutuhan nutrisi ayam petelur biaya minimum particle swarm optimization pso,-1,0.0
optimasi kmeans clustering kinerja akademik dosen algoritme genetika,-1,0.0
penerapan algoritma monte carlo tree search permainan komputer maze treasure,-1,0.0
optimasi kebutuhan gizi balita hybrid algoritma genetika simulated annealing,24,0.1603199809684905
sistem pendukung keputusan pengurutan berdasarkan jenis suara anggota divisi paduan suara bios metode profile matching studi logicio choir filkom,63,1.0
evaluasi sumber daya teknologi informasi perusahaan cobit studi pt krakatau steel persero tbk,5,1.0
peringkasan teks ekstraktif kepustakaan ilmu komputer bahasa indonesia metode normalized google distance kmeans,43,0.2562127874351955
