Judul,Penulis,Tahun,topics,probabilities
pendeteksi dehidrasi berdasarkan warna kadar amonia urin berbasis sensor tcs mq metode naive bayes,"Rint Zata Amani, Rizal Maulana, Dahnial Syauqy",31 May 2017,98,0.7843957098752276
kendali berbasis mikrokontroler protokol mqtt smarthome,"Hudan Abdur Rochman, Rakhmadhany Primananda, Heru Nurwasito",30 Jun 2017,105,1.0
algoritma genetika penjadwalan customer service studi biro perjalanan kangoroo,"Chusnah Puteri Damayanti, Rekyan Regasari Mardi Putri, Mochammad Ali Fauzi",30 Jun 2017,4,0.2494405362829046
pengiriman data sensor lm perbandingan insert basis data mysql mongodb,"Rangga Noviansyah Nuur Aziiz, Mochammad Hannats Hanafi Ichsan, Issa Arwani",30 Jun 2017,-1,0.0
membership model fuzzy perubahan suhu inkubator penetas telur,"Dini Ismawati, Dahnial Syauqy, Barlian Henryranu Prasetio",30 Jun 2017,52,1.0
sistem monitoring listrik ruangan nodemcu mqtt,"Arief Kurniawan, Dahnial Syauqy, Barlian Henryranu Prasetio",30 Jun 2017,-1,0.0
sensor akselerometer lengan manusia mengendalikan pergerakan lengan robot,"Achmad Rizal Zakaria, Wijaya Kurniawan, Dahnial Syauqy",30 Jun 2017,17,0.5109405744650755
kesalahan ejaan penentuan rekomendasi koreksi dokumen jurnal jtiik dictionary lookup dameraulevenshtein distance,"Tusty Nadia Maghfira, Imam Cholissodin, Agus Wahyu Widodo",30 Jun 2017,-1,0.0
penyakit diabetes mellitus metode modified knearest neighbor mknn,"Silvia Ikmalia Fernanda, Dian Eka Ratnawati, Putra Pandu Adikara",30 Jun 2017,98,0.7575811678847981
penerimaan os windows unified theory of acceptance and use of technology utaut,"Mega Shero Gayatrie, Ari Kusyanti, Mochamad Chandra Saputra",30 Jun 2017,28,1.0
low power wireless sensor network pengukuran suhu berbasis nrf penjadwalan pengiriman data,"Ahmad Faris Adhnaufal, Sabriansyah Rizqika Akbar, Rakhmadhany Primananda",30 Jun 2017,-1,0.0
penerimaan zakat metode support vector regression svr flower pollination algorithm fpa,"Tusiarti Handayani, Imam Cholissodin, Agus Wahyu Widodo",31 Jul 2017,-1,0.0
wireless sensor network pemantauan kondisi struktur bangunan sensor accelerometer mma,"Era Imanningtyas, Sabriansyah Rizqika Akbar, Dahnial Syauqy",31 Jul 2017,7,1.0
jaringan syaraf tiruan backpropagation mendiagnosis penyakit kulit anak,"Rokky Septian Suhartanto, Candra Dewi, Lailil Muflikah",31 Jul 2017,75,0.7497623199441431
aplikasi health communication board berbasis kendali pergerakan linear hemocs head movement control system,"Ivan Putera Pratama, Herman Tolle, Hanifah Muslimah Az-Zahra",31 Jul 2017,-1,0.0
komposisi pakan penggemukan sapi potong algoritma genetika,"Muhammad Noor Taufiq, Candra Dewi, Wayan Firdaus Mahmudy",31 Jul 2017,52,1.0
jenis autis anak usia metode linear discriminant analysis lda,"Edwar Budiman, Edy Santoso, Tri Afirianto",31 Jul 2017,114,1.0
performansi skalabilitas eventbased iot middleware,"Mohammad Fahrur Rozi, Eko Sakti Pramukantoro, Kasyful Amron",31 Jul 2017,-1,0.0
pendukung keputusan penentuan tingkat keparahan autis metode fuzzy knearest neighbor,"Robbiyatul Munawarah, Muhammad Tanzil Furqon, Lailil Muflikhah",31 Jul 2017,114,1.0
sistem informasi bimbingan konseling siswa smp negeri panarukan,"Ahmad Taufiq Hidayatullah, Fajar Pradana, Mochammad Chandra Saputra",31 Jul 2017,21,0.6832195935551596
bangun aplikasi messaging berbasis voice interaction penderita tunanetra sistem operasi android,"Leo Tiofan Justicia, Herman Tolle, Faizatul Amalia",31 Jul 2017,112,1.0
bangun aplikasi sistem informasi manajemen laboratorium biomedik fakultas kedokteran universitas brawijaya,"Ahmad Leo Yudanto, Herman Tolle, Adam Hendra Brata",31 Aug 2017,-1,0.0
data kejadian tsunami disebabkan gempa bumi algoritma kmedoids,"Daniel Alex Saroha Simamora, Muhammad Tanzil Furqon, Bayu Priyambadha",31 Aug 2017,83,0.5692373005231138
usability website jawa timur park group heuristic evaluation,"Irsalina Khairina, Suprapto Suprapto, Niken Hendrakusma Wardani",31 Aug 2017,0,0.9300826011431454
monitoring cairan infus terpusat pengolahan citra digital,"Ringga Aulia Primahayu, Fitri Utaminingrum, Dahnial Syauqy",31 Aug 2017,91,1.0
centralized smarthome simulator solusi penghematan biaya listrik algoritma kmeans,"Putri Laras Rinjani, Edita Rosana Widasari, Rizal Maulana",31 Aug 2017,130,1.0
model himpunan keanggotaan fuzzy algoritme evolution strategies data diagnosis penyakit sapi potong,"Dyan Putri Mahardika, Wayan Firdaus Mahmudy, Agus Wahyu Widodo",31 Aug 2017,25,0.06302784864944534
metode pengalamatan dinamis treecast sinkronisasi reference broadcast synchronization sensor network,"Maulita Intan Kripsita, Sabriansyah Rizqika Akbar, Mochammad Hannats Hanafi Ichsan",31 Aug 2017,7,0.6304330551452938
aplikasi respons sms panggilan telepon android text to speech proximity sensor pengemudi mobil,"Mariani Mariani, Herman Tolle, Mahardeka Tri Ananta",31 Aug 2017,112,0.9908057376678039
arduino code builder sistem simulator smart home rule terdistribusi,"Hery Julianto Situmorang, Edita Rosana Widasari, Sabriansyah Rizqika Akbar",31 Aug 2017,130,1.0
