Judul,Penulis,Tahun,topics,probabilities
aksi saham pendekatan teknikal pt telekomunikasi indonesia tbk tlkm algoritme learning vector quantization lvq,"Tri Kurniawan Putra, Sigit Adinugroho, Randy Cahya Wihandika",01 Nov 2021,46,1.0
pengalaman pengguna perspektif mahasiswa eling google classroom mahasiswa sap sistem informasi angkatan fakultas ilmu komputer universitas brawijaya,"Ananda Apriliah Sari, Ismiarta Aknuranda, Andi Reza Perdanakusuma",01 Nov 2021,-1,0.0
tingkat kapabilitas tata kelola teknologi informasi framework cobit proses dss dss pt hexindo adiperkasa cabang balikpapan,"Erlan Erlangga, Andi Reza Perdanakusuma, Aditya Rachmadi",01 Nov 2021,6,1.0
aplikasi scoring iqra berbasis android parameter pitch volume rhythm timbre,"Wahyu Septiadi, Komang Candra Brata, Adam Hendra Brata",01 Nov 2021,56,0.28667343275148294
penyakit infeksi saluran pernapasan akut ispa menerapkan metode fuzzy knearest neighbor,"Jeffrey Simanjuntak, Edy Santoso, Marji Marji",01 Nov 2021,99,0.6112236090510301
kinerja routing multicopy manajemen buffer last in first out delay tolerant network,"Benedict Abednego Hasibuan, Nurul Hidayat",01 Nov 2021,101,1.0
sistem informasi rawat jalan rekam medis elektronik berbasis website studi rsud dr iskak tulungagung,"Shinta Aprilisia, Faizatul Amalia, Fitra Abdurrachman Bachtiar",01 Nov 2021,2,0.9106299798042683
sistem informasi akademik sekolah menengah kejuruan smk studi smk muhammadiyah kemlagi,"Muhammad Taftiyan Ilham Akbar, Satrio Agung Wicaksono, Faizatul Amalia",01 Nov 2021,-1,0.0
gameplay game fall guys metode heuristic evaluation of playability hep,"Haris Mahmudi, Eriq Muhammad Adams Jonemaro, Wibisono Sukmo Wardhono",01 Nov 2021,-1,0.0
sentimen twitter metode naive bayes relevance frequency feature selection studi opini masyarakat kebijakan new normal,"Kresentia Verena Septiana Toy, Yuita Arum Sari, Imam Cholissodin",01 Nov 2021,5,1.0
pembobotan term frequencyinverse document frequency term frequencyrelevance frequency fitur ngram analisis sentimen,"Randy Ramadhan, Yuita Arum Sari, Putra Pandu Adikara",01 Nov 2021,121,1.0
sistem lampu lintas berdasarkan kepadatan persimpangan naive bayes komunikasi soket,"Abdul Muiz Anggit Budiyantoyo, Eko Setiawan, Mochammad Hannats Hanafi Ichsan",01 Nov 2021,-1,0.0
tingkat kepentingan email metode knearest neighbor studi pt green air paciffic surabaya,"Ade Wahyu Muntizar, Bayu Rahayudi, Indriati Indriati",01 Nov 2021,-1,0.0
sistem informasi pemantauan pasien isolasi mandiri covid berbasis website studi ponkesdes jeru turen,"Alvin Naufal Wahid, Indriati Indriati, Achmad Arwan",01 Nov 2021,2,1.0
sistem informasi manajemen korespondensi berbasis web metode rational unified process balai taman nasional bromo tengger semeru,"Jabbar Satrio Wicaksono, Ismiarta Aknuranda, Welly Purnomo",01 Nov 2021,32,0.8949684015587294
pengalaman pembelajaran jarak mahasiswa difabel tunanetra universitas brawijaya,"Gery Raharrdian Sony Ricardo, Diah Priharsari, Buce Trias Hanggara",01 Nov 2021,-1,0.0
sentimen tweet covid word embedding metode long shortterm memory lstm,"Muhammad Zaini Rahman, Yuita Arum Sari, Novanto Yudistira",01 Nov 2021,76,0.3303184023553383
pengambilan asuransi kecelakaan driver improve kmeans inisialisasi centroid berbasis sum square error knearest neighbor,"Maulana Syahril Ramadhan Hardiono, Bayu Rahayudi, Dian Eka Ratnawati",01 Nov 2021,67,1.0
kecerdasan buatan objek npc microgames karting finite state machine unity,"Muhammad Azzam Al-Ghifari Habiburrahman, Muhammad Aminul Akbar, Tri Afirianto",01 Nov 2021,93,0.8930195003145334
perbaikan antarmuka pengguna situs web arta barber and chill pendekatan human centered design hcd,"Miftahul Asyraf Nur, Ismiarta Aknuranda, Khalid Rahman",01 Nov 2021,20,0.7787365005445993
aplikasi pendeteksi kelelahan pengendara mobil berbasis android face recognition,"Rahmat Adi Setiawan, Fajar Pradana, Fitra Abdurrachman Bachtiar",01 Nov 2021,18,0.4819413881189804
desain layanan informasi profil umkm wilayah jawa timur pendekatan human centered design hcd,"Haidar Giri Tidar, Buce Trias Hanggara, Diah Priharsari",01 Nov 2021,69,0.8643511006453644
speech recognition bahasa indonesia unidirectional gated recurrent unit,"Bayu Aji Firmansyah, Fitra Abdurrachman Bachtiar",01 Dec 2021,56,0.5856553263254296
antarmuka pengguna aplikasi mobile learning mata pelajaran komputer jaringan dasar metode human centered design studi kelas x tkj smkn dlanggu mojokerto,"Nurul Fikriyah, Hanifah Muslimah Az-Zahra, Wibisono Sukmo Wardhono",01 Dec 2021,-1,0.0
sistem informasi monitoring peternakan ayam berbasis mobile react native restfull web service studi peternakan alfa sentosa,"Muhammad Fikri Fadlurrahman, Issa Arwani, Widhy Hayuhardhika Nugraha Putra",01 Dec 2021,-1,0.0
metode ahp topsis sistem pendukung keputusan pemilihan laptop bekas media penunjang pembelajaran pasca pandemi covid,"Mohammad Aditya Noviansyah, Imam Cholissodin, Bayu Rahayudi",01 Dec 2021,124,1.0
website ecommerce pemanfaatan sistem payment gateway midtrans studi butik rizza collection,"Chairunisa Dwinanda Asti, Widhy Hayuhardhika Nugraha Putra, Welly Purnomo",01 Dec 2021,66,0.6203508258987782
aplikasi manajemen tugas berbasis android studi cv cheleron production,"Iqra Ilhamsyah, Agi Putra Kharisma, Novanto Yudistira",01 Dec 2021,-1,0.0
perbaikan website sma negeri singosari metode human centered design hcd,"Priska Aprillia Putri, Widhy Hayuhardhika Nugraha Putra, Yusi Tyroni Mursityo",01 Dec 2021,20,0.9747893204153174
user experience aplikasi pencarian manajemen indekos berbasis android pendekatan humancentered design,"Amir Saqib Azhardika, Herman Tolle, Komang Candra Brata",01 Dec 2021,-1,0.0
algoritma dijkstra pembobotan link dinamis berdasarkan packet loss pencarian rute terpendek software defined networking,"Julio Firdaus Irawan, Primantara Hari Trisnawan, Aditya Bhawiyuga",01 Dec 2021,45,0.998226765588637
sistem penilaian kenaikan pangkat perawat rumah sakit studi rumah sakit islam faisal makassar,"Meidita Famirah, Achmad Arwan, Djoko Pramono",01 Dec 2021,36,0.45664219244419146
smoothing peramalan penjualan hijab vie hijab store,"Eky Cahya Pratama, Muhammad Tanzil Furqon, Sigit Adinugroho",01 Dec 2021,77,0.9188865621336371
panen varietas unggul kedelai support vector machine svm,"Abas Saritua Gultom, Muhammad Tanzil Furqon, Sutrisno Sutrisno",01 Dec 2021,9,1.0
metode fuzzy cmeans model lrfm segmentasi pelanggan toko butik studi diva collection kota cilegon,"Adityo Dwirahmawan, Nanang Yudi Setiawan, Djoko Pramono",01 Dec 2021,51,0.23475952482720458
sentimen opini masyarakat kebijakan psbb metode naive bayes seleksi fitur improved gini index,"Kenza Dwi Anggita, Yuita Arum Sari, Sigit Adinugroho",01 Dec 2021,12,0.944939061986452
website ecommerce payment gateway midtrans studi butik kebaya iffah,"Velia Wilda Ifanah, Widhy Hayuhardhika Nugraha Putra",01 Dec 2021,66,0.747168495485024
sistem informasi manajemen siswa studi sma negeri malang,"Muhammad Amir Razzak, Widhy Hayuhardhika Nugraha Putra, Djoko Pramono",01 Dec 2021,21,0.9496878963029802
sistem kontrol suhu kelembaban gudang penyimpanan biji kopi arduino uno protokol mqtt,"Rahadian Sayogo, Mochammad Hannats Hanafi Ichsan, Rizal Maulana",01 Dec 2021,-1,0.0
kinerja mqtt broker berbasis kontainer docker perangkat raspberry pi,"Andika Kurniawan, Mahendra Data, Dany Primanita Kartikasari",01 Dec 2021,38,0.9063649240556461
metode naive bayes diagnosa pengidap demam berdarah kelurahan antasan berbasis web,"Akhmad Wahyu Redhani, Nurul Hidayat, Suprapto Suprapto",01 Dec 2021,1,0.8335603880417601
pakar diagnosis penyakit leukimia metode fuzzy tsukamoto,"Stefan Levianto, Arief Andy Soebroto",01 Dec 2021,99,1.0
routing statis media komunikasi lora websocket pengiriman data sensor cloud iot,"Mohamad Lutfi, Primantara Hari Trisnawan, Rakhmadhany Primananda",01 Dec 2021,-1,0.0
sentimen opini publik media sosial twitter vaksin covid algoritma support vector machine term frequencyinverse document frequency,"Edgar Maulana Thoriq, Dian Eka Ratnawati, Bayu Rahayudi",01 Dec 2021,90,1.0
aplikasi manajemen informasi konsultasi menyusui berbasis website studi mamina mom baby treatment malang,"Bobby Rizkyanto, Adam Hendra Brata, Lutfi Fanani",01 Dec 2021,-1,0.0
sistem informasi rekam medis ramdani skincare spa malang metode prototyping berbasis web,"Cindy Cunday Cicimby, Denny Sagita Rusdianto, Randy Cahya Wihandika",01 Dec 2021,2,1.0
sentimen masyarakat sistem pembelajaran online pandemi covid berdasarkan twitter metode naive bayes,"Moch Bima Prakoso, Imam Cholissodin, Indriati Indriati",01 Dec 2021,5,0.7840575812916136
tata kelola teknologi informasi pt pelita transfer nusantara berdasarkan kerangka kerja cobit,"Desyolanda Manullang, Suprapto Suprapto, Aditya Rachmadi",01 Dec 2021,6,1.0
perbaikan antarmuka meningkatkan user experience metode usability testing user experience questionnaire ueq studi aplikasi malang menyapa,"Rizki Hasna Salsabil Rakha, Satrio Hadi Wijoyo, Suprapto Suprapto",01 Dec 2021,19,0.6112213123847123
sistem informasi geografis berbasis web kesesuaian lahan kawasan perkotaan kabupaten sidoarjo,"Andrian Santiyon, Fatwa Ramdani, Bondan Sapta Prakoso",01 Dec 2021,125,1.0
website toko online baju bekas studi toko gudang jumat,"Bagas Rayi Prabowo, Issa Arwani, Bondan Sapta Prakoso",01 Dec 2021,-1,0.0
sistem informasi pengelolaan peramalan barang metode weighted moving average toko welfa sijunjung,"Muhammad Prabu Sutomo, Agi Putra Kharisma, Candra Dewi",01 Dec 2021,-1,0.0
gizi bahan makanan anak anak tumbuh kembang algoritma genetika studi dinas kesehatan kabupaten kediri,"Putri Ratna Sari, Imam Cholissodin, Bayu Rahayudi",01 Dec 2021,31,0.8075842769873042
manajemen tatakelola teknologi informasi dinas kominfo kota malang framework cobit,"Achmad Muchsinul Huda Malik Jamil, Aditya Rachmadi, Andi Reza Perdanakusuma",01 Dec 2021,6,0.7866666645487499
sistem informasi manajemen pengelolaan member fitness kebutuhan nutrisi member pemantauan perkembangan usaha berbasis website studi executive gym kota cilegon,"Rizky Ramadhana, Fajar Pradana, Achmad Arwan",01 Dec 2021,-1,0.0
antarmuka pengguna sistem informasi monitoring evaluasi prakerin berbasis website metode human centered design studi smkn sragenuser interface design of websitebased industrial work practice monitoring and evaluation information system using human centered design method case study smkn sragen,"Wiwit Susilo Ningsih, Hanifah Muslimah Az-Zahra, Tri Afirianto",01 Dec 2021,-1,0.0
aplikasi mengukur reusability perangkat lunak objectoriented metric,"Arkaan Nurul Iman, Tri Astoto Kurniawan",01 Dec 2021,0,1.0
fuzzy inference system mitigasi broadcast storm protokol adhoc on demand distance vector aodv,"Selma Aulia Sekarrizky, Reza Andria Siregar, Rakhmadhany Primananda",01 Dec 2021,-1,0.0
sistem informasi layanan pengurusan surat pengaduan aspirasi warga berbasis web desa pagerngumbuk,"Muchamad Khafido Ilzam, Adam Hendra Brata, Faizatul Amalia",01 Dec 2021,44,1.0
antarmuka pengguna aplikasi leson metode humancentered design hcd,"Adam Surya Wibawa, Retno Indah Rokhmawati, Hanifah Muslimah Az-Zahra",01 Dec 2021,-1,0.0
perbaikan proses bisnis pembacaan meter pascabayar pt pln persero up malang,"Muhammad Indra Firdaus, Ismiarta Aknuranda, Nanang Yudi Setiawan",01 Dec 2021,-1,0.0
user experience aplikasi ekoperasi sekolah berbasis android metode human centered design hcd,"Lasma Divathama Tobing, Herman Tolle",01 Dec 2021,-1,0.0
sistem informasi penjualan sayuran berbasis web metode waterfall studi agro techno park universitas brawijaya,"Riski Ida Agustiyan, Imam Cholissodin, Arief Andy Soebroto",01 Dec 2021,-1,0.0
kantuk pengemudi kedipan mata facial landmark berbasis intel nuc,"Dewi Amalia, Fitri Utaminingrum",01 Dec 2021,18,0.6179449691253793
routing dinamis wireless sensor network modul komunikasi lora,"Mahardika Putra Utama, Dany Primanita Kartikasari, Aditya Bhawiyuga",01 Dec 2021,7,0.7708100565223425
metode analythic hierarcy process ahp technique for other preference by similiarity to ideal solution topsis perangkingan hasil kerja pegawai collection bank btn,"Wahyu Dwiky Rahmadan, Nurul Hidayat, Edy Santoso",01 Dec 2021,33,0.7137680834881672
kinerja protokol routing adhoc on demand multipath distance vector aomdv lingkup vehicular adhoc network vanet daerah perkotaan,"Abraham Arya Satyana, Primantara Hari Trisnawan, Rakhmadhany Primananda",01 Dec 2021,41,1.0
kelayakan biaya manfaat investasi teknologi informasi digital advertising google merchandise store,"Raka Rachmanda Putra, Andi Reza Perdanakusuma, Diah Priharsari",01 Dec 2021,-1,0.0
kinerja teknologi failover berbasis klaster heartbeat teknologi failover berbasis jaringan keepalived,Dian Pratama,01 Dec 2021,-1,0.0
sentimen metode naive bayes classifier review produk perawatan kulit wajah seleksi fitur ngram document frequency thresholding,"Sinta Kusuma Wardani, Yuita Arum Sari, Indriati Indriati",01 Dec 2021,18,0.9442847099169375
penggunaan model regresi prediksi penjualan spare part ahass nur andhita grogol,"Hilmi Rezkian Aziz Dama, Ahmad Afif Supianto, Nanang Yudi Setiawan",01 Dec 2021,-1,0.0
citra kue tradisional berbasis clustering algoritme dbscan,"Fatwa Reza Rizqika, Yuita Arum Sari, Muh. Arif Rahman",01 Dec 2021,51,0.8163344078591914
sentimen twitter bencana alam kalimantan selatan metode naive bayes,"Adi Mashabbi Maksun, Yuita Arum Sari, Bayu Rahayudi",01 Dec 2021,5,0.8627410565611512
tingkat keasinan telur asin metode knearest neighbor sensor tcs berbasis arduino mega,"Rian Ari Hardianyah, Hurriyatul Fitriyah, Agung Setia Budi",01 Dec 2021,-1,0.0
sistem informasi pengelolaan nilai hasil belajar murid pendaftaran murid madrasah tsanawiyah maarif udanawu blitar,"Daniel Sri Bintang, Ismiarta Aknuranda, Djoko Pramono",01 Dec 2021,21,0.557894815988814
sentimen review produk kecantikan metode naive bayes,"Binti Najibah Agus Ratri, Yuita Arum Sari, Indriati Indriati",01 Dec 2021,12,0.6876747405867402
citra makanan kue tradisional ekstraksi fitur hsv color moment local binary pattern knearest neighbour,"Gagas Budi Waluyo, Yuita Arum Sari, Bayu Rahayudi",01 Dec 2021,14,0.8526820791666695
perbandingan pengalaman pengguna aplikasi virtual hotel operator kota malang user experience questionnaire ueq importance performance analysis ipa studi reddoorz oyo,"Azrul Ananda, Bondan Sapta Prakoso, Admaja Dwi Herlambang",01 Dec 2021,19,0.26237708090429124
alat seleksi pompa cadangan algoritma knearest neighbour berdasarkan transmisi data ic,"Andrean Dwi Andaru, Mochammad Hannats Hanafi Ichsan, Rakhmadhany Primananda",01 Dec 2021,-1,0.0
sistem informasi manajemen keuangan lesehan kolam pancing kresna berbasis website model evolutionary prototyping,"Muhammad Baghiz Firdausa, Retno Indah Rokhmawati, Satrio Agung Wicaksono",01 Dec 2021,-1,0.0
aplikasi pariwisata kabupaten jember berbasis mobile,"Andrew Adi Nugraha, Issa Arwani, Tibyani Tibyani",01 Dec 2021,-1,0.0
sentimen masyarakat indonesia covid media sosial twitter metode naive bayes,"Tuahta Ramadhani, Yuita Arum Sari, Edy Santoso",01 Dec 2021,5,0.9847307836090894
aplikasi inventarisasi barang perhitungan gaji berbasis mobile web kedai kopipagi padang,"Muhamad Ilham Dian Putra, Agi Putra Kharisma, Randy Cahya Wihandika",03 Jan 2022,-1,0.0
usability perbaikan desain antarmuka pengguna aplikasi hm,"Inas Aqliya, Ismiarta Aknuranda, Welly Purnomo",03 Jan 2022,-1,0.0
sistem informasi inventarisasi aset metode test driven development studi universitas mulia,"Ranu Goldan Yeara Elzatar, Adam Hendra Brata, Agi Putra Kharisma",03 Jan 2022,-1,0.0
kendali pitch roll ketinggian quadcopter isyarat tangan kalman filter,"Muhammad Junifadhil Caesariano, Eko Setiawan, Hurriyatul Fitriyah",03 Jan 2022,86,0.8571721981827862
sistem informasi monitoring kehadiran siswa studi sma negeri jakarta,"Bayu Kurniawan, Satrio Agung Wicaksono, Welly Purnomo",03 Jan 2022,21,0.5006356218827269
aplikasi sistem pemesanan cuci sepatu berbasis mobile android garage shoes clean,"Anggara Priambodo Jhohansyah, Fajar Pradana, Indriati Indriati",03 Jan 2022,115,0.43399127533073234
tingkat kemanisan buah melon ekstraksi fitur local binary pattern klasifikasi knn berbasis raspberry pi,"Versa Christian Wijaya, Fitri Utaminingrum",03 Jan 2022,47,1.0
topik skripsi mahasiswa fakultas ilmu komputer universitas brawijaya berdasarkan judul periode metode semi supervised kmeans,"Mochammad Ilman Asnada, Bayu Rahayudi, Achmad Ridok",03 Jan 2022,13,0.91848854594149
aspek afektif prestasi belajar pemrograman web perangkat bergerak studi kelas x rpl smk pgri malang,"Annisa Mutiara Fari, Admaja Dwi Herlambang, Satrio Hadi Wijaya",03 Jan 2022,-1,0.0
bangun sistem klasifikasi ukuran baju berdasarkan ukuran tubuh metode knearest neighbor berbasis arduino,"Xavierro Lawrenza, Hurriyatul Fitriyah, Dahnial Syauqy",03 Jan 2022,48,0.3436383260625465
ulasan produk hp marketplace tokopedia metode semi supervised kmeans,"Rizky Ardiawan, Yuita Arum Sari, Bayu Rahayudi",03 Jan 2022,-1,0.0
sistem informasi manajemen reproduksi sapi perah balai pelatihan peternakan bbpp batu,"Ians Adji Adhitama, Issa Arwani, Tibyani Tibyani",03 Jan 2022,-1,0.0
maturitas sumber daya teknologi informasi bidang aplikasi infrastruktur informatika dinas komunikasi informatika kota mojokerto cobit domain edm apo bai,"Ainur Rosyid, Buce Trias Hanggara, Suprapto Suprapto",03 Jan 2022,6,1.0
pakar sistem pakar deteksi tingkat depresi mahasiswa metode support vector machine studi fakultas ilmu komputer universitas brawijaya,"Teddy Syach Pratama, Arief Andy Soebroto",03 Jan 2022,-1,0.0
nmodular redundancy vehicle accident report system,"Bayu Bagus Prabowo, Rakhmadhany Primananda, Agung Setia Budi",03 Jan 2022,67,1.0
user experience aplikasi pembelajaran rumus fisika momen gaya pendekatan human centered design hcd,"Fiqih Yanfirdaus Afandi, Ratih Kartika Dewi, Komang Candra Brata",03 Jan 2022,-1,0.0
perbandingan pengalaman pengguna aplikasi whatsapp telegram kuesioner mecue,"Alim Muhammad, Buce Trias Hanggara, Hanifah Muslimah Az-Zahra",03 Jan 2022,107,0.9281959396412519
sistem perhitungan penumpang halte transjakarta berbasis wireless sensor network,"Aditya Hertian, Mochammad Hannats Hanafi Ichsan, Agung Setia Budi",03 Jan 2022,-1,0.0
perbandingan pengalaman pengguna google classroom lms smkn malang pandemi covid metode tuxel,"Elfi Atus Zahroh, Hanifah Muslimah Az-Zahra, Tri Afirianto",03 Jan 2022,124,1.0
covid bahasa indonesia naive bayes,"Glenn Jonathan Satria, Putra Pandu Adikara, Randy Cahya Wihandika",03 Jan 2022,54,0.30458005774307273
aktivitas manusia algoritme fuzzy learning vector quantization flvq reduksi dimensi principal component analysis pca,"Katrina Puspita, Fitra Abdurrachman Bachtiar, Novanto Yudistira",03 Jan 2022,46,0.6407884358915412
support vector machine analisis sentimen bantuan sosial era pandemi covid pengguna twitter,"Davriwan Dzaky Muttaqien, Tibyani Tibyani; Pitoyo Peter Hartono",03 Jan 2022,90,0.6119291241104066
serangan distributed denialofservice ddos metode data mining naive bayes,Muamar Zidane,03 Jan 2022,74,1.0
user experience aplikasi perangkat bergerak kwikku user experience questionnaire heuristic evaluation,"Wahid Hasyim, Ismiarta Aknuranda, Khalid Rahmadan",03 Jan 2022,19,1.0
sistem aplikasi latihan kebugaran pemula berbasis android,"Allen Nazario Istalaksana, Eriq Muhammad Adams Jonemaro, Muhammad Aminul Akbar",03 Jan 2022,22,0.7771004672487433
algoritma diffie hellman key exchange komunikasi data antarnode wireless sensor network,"Holden Gunawan, Agung Setia Budi, Rakhmadhany Primananda",03 Jan 2022,7,0.7428843732154605
iklan twit metode naive bayes,"Thariq Muhammad Firdausy, Putra Pandu Adikara, Sutrisno Sutrisno",03 Jan 2022,5,0.9056867879801788
bangun alat pengenalan papan nama ruangan kondisi pencahayaan algoritme yolov berbasis nvidia jetson nano,"Asep Ranta Munajat, Fitri Utaminingrum",03 Jan 2022,116,1.0
bangun sistem autoconfig sensor perangkat iot overtheair protokol http berbasis raspberrypi,"Syahrul Ramadhan, Agung Setia Budi, Mochammad Hannats Hanafi Ichsan",03 Jan 2022,-1,0.0
aplikasi android rekomendasi gym kota malang menerapkan protokol kesehatan covid,"Asrina Fitri, Ratih Kartika Dewi, Tri Afirianto",03 Jan 2022,-1,0.0
aplikasi pengelolaan usaha laundry berbasis website,"Andicha Eka Prastya, Nurudin Santoso",03 Jan 2022,115,1.0
aplikasi mobile web pengelolaan gudang kain studi cv sidodadi textile,"Kevin Haidar, Agi Putra Kharisma, Randy Cahya Wihandika",03 Jan 2022,-1,0.0
sistem informasi manajemen penjualan umkm cokelat mesuji kota batu,"Achmad Raiz Sikrillah, Nurudin Santoso",03 Jan 2022,-1,0.0
sistem informasi perpustakaan smp plus alkautsar malang,"Andhini Apsari Putri, Ismiarta Aknuranda",03 Jan 2022,80,1.0
klasifikasi saus cabai mengandung formalin sensor tcs sensor groovehcho metode knearest neighbor berbasis arduino,"Hamzah Attamimi, Dahnial Syauqy, Hurriyatul Fitriyah",03 Jan 2022,-1,0.0
akurasi pendeteksian berjalan variasi peletakan sensor imu filter kalman fir klasifikasi knn naive bayes,"David Isura, Hurriyatul Fitriyah, Rakhmadhany Primananda",03 Jan 2022,-1,0.0
aplikasi perangkat bergerak sistem informasi event bidang teknologi informasi berbasis android,"Ilham Dwi Muchlison, Agi Putra Kharisma, Issa Arwani",03 Jan 2022,-1,0.0
aplikasi perangkat bergerak sistem informasi manajemen produk transaksi keuangan umkm kota malang berbasis android,"Yohannes Sebastian Sibarani, Agi Putra Kharisma, Riswan Septriayadi Sianturi",03 Jan 2022,88,0.8018469283503254
kendali level suhu air hidroponik sensor ultrasonik sensor suhu arduino metode regresi linier,"Muhammad Rizki Chairurrafi, Hurriyatul Fitriyah, Barlian Henryranu Prasetio",03 Jan 2022,-1,0.0
user experience metode hcd ueq studi layanan peminjaman asset biro protokol setda provinsi bali,"Luh Putu Dessy Citra Yoseva Wardana, Satrio Hadi Wijoyo, Bondan Sapta Prakoso",03 Jan 2022,-1,0.0
user experience aplikasi crowdfunding pariwisata desa metode design thinking studi pariwisata desa jembul kabupaten mojokerto,"Putri Nur Utami Ramadhani, Satrio Hadi Wijoyo, Bondan Sapta Prakoso",03 Jan 2022,3,0.39269407314585425
perbaikan antarmuka pengguna kursus perpajakan daring piranha smart center pendekatan humancentered design,"Mohamad Zakaria Al Ansori, Retno Indah Rokhmawati, Diah Priharsari",03 Jan 2022,55,0.7545737196338552
sistem informasi geografis berbasis webgis pemetaan fasilitas kota pasuruan framework codeigniter,"Farhah Annisa Jamal Firdaus, Fatwa Ramdani, Issa Arwani",03 Jan 2022,125,1.0
antarmuka pengguna sistem informasi pengelolaan nilai siswa smait ibnu abbas metode human centered design,"Fathiya Ihsani, Hanifah Muslimah Az-Zahra, Aditya Rachmadi",03 Jan 2022,69,1.0
pemecahan transmisi data citra protokol lora,"Ahmad Nasrul Illahi, Adhitya Bhawiyuga, Kasyful Amron",03 Jan 2022,-1,0.0
tangga turunan notifikasi keamanan tunanetra yolo versi berbasis jetson nano b,"Muhammad Nazrenda Ramadhan, Fitri Utaminingrum, Dahnial Syauqy",03 Jan 2022,116,1.0
quick response code filter unsharp deteksi objek pemindahan benda integrasi database sql robot manipulator,"Refsi Ilham Cahya, Rizal Maulana, Hurriyatul Fitriyah",03 Jan 2022,74,0.995349841890625
aplikasi supervisi pembelajaran berbasis mobile leson,"Febrian Diaz Maulana, Ratih Kartika Dewi, Retno Indah Rokhmawati",03 Jan 2022,22,1.0
authentication authorization and accounting pengamanan jaringan small officehome office,Moh Fazriyal Audy,03 Jan 2022,-1,0.0
evaluasi user experience aplikasi microteaching pendukung standar kompetensi mahasiswa calon guru berbasis mobile pendekatan human centered design remote usability testing,"Anak Agung Adi Wiryya Putra, Retno Indah Rokhmawati, Hanifah Muslimah Az-Zahra",03 Jan 2022,-1,0.0
sistem informasi akuntansi berbasis web studi language center kediri,"Tasya Permatasari, Nurudin Santoso",03 Jan 2022,13,0.8066272119742361
interaksi antarmuka pengguna sistem informasi inventaris aset divisi it quality assurance pt telekomunikasi selular,"Fitria Handayani, Retno Indah Rokhmawati, Diah Priharsari",03 Jan 2022,-1,0.0
aplikasi asuhan gizi pasien covid studi rs lapangan ijen boulevard malang,"Adi Kurniawan, Adam Hendra Brata, Agi Putra Kharisma",03 Jan 2022,2,1.0
aplikasi web pendeteksi kondisi ekspresi pengguna elearning kamera,"Akhmad Lazuardi, Fajar Pradana, Fitra Abdurrachman Bachtiar",03 Jan 2022,-1,0.0
sistem monitoring transaksi sewa pemeliharaan mobil berbasis android studi pt belfano nahla utama,"Bella Rhobiatul Adhawiyah, Agi Putra Kharisma, Ratih Kartika Dewi",03 Jan 2022,88,1.0
aplikasi pengatur kalori harian tensorflow berbasis android,"Naufal Afif Bunyamin, Adam Hendra Brata, Ratih Kartika Dewi",03 Jan 2022,35,0.6046805765392449
kualitatif technostress guru penggunaan teknologi informasi pandemi covid,"Ramdaning Puri Pradani, Diah Priharsari, Satrio Hadi Wijoyo",03 Jan 2022,124,1.0
sistem identifikasi malicious host activity visualisasi graph berdasarkan arp request,Ilham Taufieq Julfianto,03 Jan 2022,74,1.0
pengendali kualitas air budidaya ikan guppy berdasarkan suhu derajat keasaman air metode knn knearest neighbor,"Rizky Widya Mahendra, Eko Setiawan, Rizal Maulana",03 Jan 2022,34,0.9603482998067453
user experience aplikasi mobile platform bagikata metode goaldirected design gdd,"Rizka Ghaniyyah, Buce Trias Hanggara, Bondan Sapta Prakoso",03 Jan 2022,81,0.7403869915751283
sistem pendeteksi premature atrial contraction berbasis mikrokontroler arduino uno berdasarkan interval qtc durasi gelombang t metode support vector machine,"Dipatya Sakasana, Rizal Maulana, Hurriyatul Fitriyah",31 Dec 2022,117,1.0
kepribadian model myersbriggs type indicator mbti teks bahasa inggris metode convolutional neural network cnn,"Joseph Ananda Sugihdharma, Fitra Abdurrachman Bachtiar",31 Dec 2022,18,0.4497707140092734
emosi engagement facial landmark metode convolutional neural network,"Aulia Nurrahma Rosanti Paidja, Fitra Abdurrachman Bachtiar",31 Dec 2022,18,0.5247677024443387
spam email affect intensities metode recurrent neural network rnn,"Nurafifah Alya Farahisya, Fitra Abdurrachman Bachtiar",31 Dec 2022,-1,0.0
aplikasi pemesanan makanan pedagang keliling bakul,"Christian Doxa Hamasiah, Muhammad Aminul Akbar, Issa Arwani",31 Dec 2022,35,0.3111227014567916
user experience aplikasi mobile portal job fair sarjana sakti pendekatan humancentered design,"Annisah Amalia, Herman Tolle, Ratih Kartika Dewi",31 Dec 2022,43,1.0
topik alquran terjemahan bahasa indonesia metode hybrid fuzzy cmeans particle swarm optimization fcmpso,"Luthfi Afrizal Ardhani, Fitra Abdurrachman Bachtiar, Lailil Muflikhah",31 Dec 2022,-1,0.0
retrieval hadis terjemah bahasa indonesia metode vector space model hybrid fuzzy cmeans algoritme genetika,"Alaikal Fajri Nur Alfian, Fitra Abdurrachman Bachtiar, Indriati Indriati",31 Dec 2022,25,0.10998502428535528
autentikasi protokol coap mqtt oblivious transfer perangkat iot,"Puspita Ainunnazahah, Ari Kusyanti, Reza Andria Siregar",31 Dec 2022,105,1.0
aplikasi perangkat bergerak alat bantu pedagang sayur keliling ionic framework,"Manggala Rezka Perdana, Adam Hendra Brata, Faizatul Amalia",31 Dec 2022,35,0.4426041552179802
produksi madu metode fuzzy mamdani studi alhoney kediri,"Lailatul Fitriah, Edy Santoso, Marji Marji",31 Dec 2022,-1,0.0
