Judul,Penulis,Tahun
manajemen multi proyek metode scrum,"Andri Wijaya Kusuma, Nurudin Santoso, Arief Andy Soebroto",30 Sep 2019
aplikasi reservasi manajemen marketplace homestay berbasis web studi kota pekanbaru,"Habib Yafi Ardi, Bayu Priyambadha, Arief Andy Soebroto",30 Sep 2019
komparasi static arp entry persistent arping penanganan arp cache poisoning,"Terbit Reformator, Primantara Hari Trisnawan",30 Sep 2019
informasi rekam medis paru berbasis web studi rumah sakit karsa husada batu,"Rizki Aziz Amanullah, Achmad Arwan, Agus Wahyu Widodo",30 Sep 2019
metode autentikasi zero knowledge proof protokol feigefiatshamir identification scheme perangkat internet of things,"Luthfi Maulana, Ari Kusyanti, Fariz Andri Bachtiar",30 Sep 2019
rekomendasi lapangan futsal berbasis android metode topsis,"Faishal Pradipta Astungkoro, Ratih Kartika Dewi, Komang Candra Brata",30 Sep 2019
perbandingan penerapan stateless stateful aplikasi server load balancing berbasis softwaredefined networking,"Fahmi Alfareza, Achmad Basuki, Kasyful Amron",30 Sep 2019
aplikasi mobile geotagging fasilitas tanggap darurat bencana alam algoritma polylines pencarian rute terdekat,"Reynald Hermanto Simanjuntak, Herman Tolle, Ratih Kartika Dewi",30 Sep 2019
user experience aplikasi mobile asphalt legends cognitive walkthrough heuristic evaluation,"Ahmad Fahrurrozi, Satrio Hadi Wijoyo, Lutfi Fanani",30 Sep 2019
diagnosis penyakit jantung metode modified knearest neighbor,"Kholif Beryl Gibran, Nurul Hidayat, Tibyani Tibyani",30 Sep 2019
variasi menu makanan sesuai gizi anak panti asuhan improved particle swarm optimization,"Aldino Caturrahmanto, Lailil Muflikhah, Imam Cholissodin",30 Sep 2019
sistem aplikasi parentstory aktivitas anak pt cerita buah hati berbasis android,"Muhammad Aditya Pramudita, Bayu Priyambadha, Djoko Pramono",30 Sep 2019
aplikasi taman hiburan berbasis android,"Bagas Andaryanto, Fajar Pradana, Achmad Arwan",30 Sep 2019
semantic computing rumah cerdas berdasarkan perintah pengguna smartphone,"M Yusuf Effendi, Mochammad Hannats Hanafi Ichsan, Rizal Maulana",30 Sep 2019
sistem aplikasi pencarian dosen pembimbing skripsi teknologi web semantik studi fakultas ilmu komputer universitas brawijaya,"Eka Devi Prasetiya, Bayu Priyambadha, Fitra Abdurrachman Bachtiar",30 Sep 2019
sistem monitoring penggunaan air hippam himpunan penduduk pemakai air minum dharma tirta desa bogorejo kecamatan bancartuban,"Siti Julaikah, Bayu Priyambadha, Adam Hendra Brata",30 Sep 2019
egovernment inovasi pelayanan publik kegiatan hibah bantuan sosial dinas komunikasi informatika kabupaten bogor,"Khrisna Widhi Dewanto, Nurudin Santoso, Arief Andy Soebroto",30 Sep 2019
performance expectancy effort expectancy social influence behavioral intention implementasi aplikasi simpg pt perkebunan nusantara xi surabaya,"Adelwin Hilman Wibowo, Yusi Tyroni Mursityo, Admaja Dwi Herlambang",30 Sep 2019
kinerja protokol lorawan transmisi data skenario urban area,"Fathan Muhammad, Adhitya Bhawiyuga, Dany Primanita Kartikasari",30 Sep 2019
jaringan voip berbasis sip wireless mesh network wmn routing protocol olsr,"Muhammad Afian Musthofa, Primantara Hari Trisnawan, Rakhmadhany Primananda",30 Sep 2019
sistem informasi manajemen pemesanan homestay desa bajulmati berbasis website,"Adi Setyo Nugroho, Nurudin Santoso, Arief Andy Soebroto",30 Sep 2019
kinerja strategi innetwork caching informationcentric networking simulator icarus,"Ismawati Nurjannah, Achmad Basuki, Kasyful Amron",30 Sep 2019
sistem informasi portal banyuwangi festival berbasis website metode rapid application development rad,"Wahyu Putra Adi Permana, Nurudin Santoso, Bayu Priyambadha",30 Sep 2019
sistem informasi penilaian evaluasi kinerja karyawan metode weighted product berbasis web studi ub guest house,"Brendy Oscar Munthe, Faizatul Amalia, Imam Cholissodin",30 Sep 2019
flag mengurangi permasalahan input disengaja controller kinect,"Viqi Hanada, Wibisono Sukmo Wardhono, Muhammad Aminul Akbar",30 Sep 2019
user experience game fortnite mobile metode enhanced cognitive walkthrough,"Raka Irvaldo Rahadiasta, Satrio Hadi Wijoyo, Hanifah Muslimah Az-Zahra",30 Sep 2019
prediksi penerimaan snmptn algoritme decision tree c,"Dityo Kukuh Utomo, Ahmad Afif Supianto, Welly Purnomo",30 Sep 2019
pendukung keputusan penentuan dosen pembimbing skripsi algoritme winnowingweighted product,"Rizka Awaliyah Nurul Putri, Ahmad Afif Supianto, Welly Purnomo",30 Sep 2019
rekomendasi siswa berprestasi berdasarkan nilai akademik nonakademik sma brawijaya smart school,"Vito Ramadhan, Ahmad Afif Supianto, Djoko Pramono",30 Sep 2019
perbaikan usability antarmuka pengguna aplikasi mobile pdam surya sembada kota surabaya metode usability testing,"Tistya Putri Karima, Hanifah Muslimah Az-Zahra, Andi Reza Perdanakusuma",30 Sep 2019
desain antarmuka aplikasi mobile sigap metode heuristic evaluation studi bpbd kabupaten sidoarjo,"Yunita Titisari, Satrio Hadi Wijoyo, Hanifah Muslimah Az-Zahra",30 Sep 2019
citra kue tradisional berdasarkan ekstraksi fitur color histogram color moment algoritme perhitungan jarak minkowski,"Andina Dyanti Putri, Yuita Arum Sari, Putra Pandu Adikara",30 Sep 2019
middleware web of things antarmuka akses batch stream perangkat sensor berbasis protokol bluetooth low energy,"Satria Adhi Kharisma, Adhitya Bhawiyuga, Eko Sakti Pramukantoro",30 Sep 2019
kualitas situs web pemerintah daerah pelayanan perijinan terpadu kepuasan pengguna model egovqual studi dinas penanaman modal pelayanan terpadu pintu kabupaten kutai barat kalimantan timur,"Anggi Dewi Eka Pratiwi, Niken Hendrakusma Wardani, Admaja Dwi Herlambang",30 Sep 2019
sistem informasi pelayanan perawatan penyakit diabetes mellitus berbasis website studi klinik griya bromo malang,"Riznin Ayustya Imandiena, Faizatul Amalia, Achmad Arwan",30 Sep 2019
algoritme grain wireless sensor network media pengiriman data nrfl,"Muhammad Khatib Barokah, Ari Kusyanti, Mochammad Ali Fauzi",30 Sep 2019
interaksi multi arah pembelajaran berbantuan edmodo mata pelajaran komputer jaringan dasar studi kelas x jurusan teknik komputer jaringan smk negeri malang,"Intan Kikis Sahara, Satrio Hadi Wijoyo, Admaja Dwi Herlambang",30 Sep 2019
aplikasi resep masakan rekomendasi berdasarkan bahanbahan makanan berbasis web,"Wunsel Arto Negoro, Faizatul Amalia, Edy Santoso",30 Sep 2019
user experience aplikasi perangkat bergerak ruang guru metode heuristic evaluation,"Cheldo Bagus Romansya, Hanifah Muslimah Az-Zahra, Retno Indah Rokhmawati",30 Sep 2019
aplikasi mobile gateway perantara komunikasi wireless body area network berbasis protokol komunikasi bluetooth low energy pusat data metode storeforward,"Firman Budi Safrizal, Adhitya Bhawiyuga, Eko Sakti Pramukantoro",30 Sep 2019
sistem manajemen penilaian anak berkebutuhan khusus studi slb negeri jakarta,"Alif Prasetyo Aji, Achmad Arwan, Edy Santoso",30 Sep 2019
varietas unggul padi algoritme c,"Arinda Rachman, Muhammad Tanzil Furqon, Fatwa Ramdani",30 Sep 2019
aplikasi perhitungan rancangan anggaran biaya bahan bangunan rumah berbasis android,"Loudy Fitria Aspitasari, Fajar Pradana, Bayu Priyambadha",30 Sep 2019
sistem survei pelanggan berbasis website studi departemen pemasaran urea pt pupuk kalimantan timur,"Akhmad Rizqi Azhari, Adam Hendra Brata, Komang Candra Brata",30 Sep 2019
terjemahan hadits shahih muslim metode cosine similarity seleksi fitur term frequency,"Achmad Burhannudin, Indriati Indriati, Marji Marji",30 Sep 2019
aplikasi manajemen klinik gigi studi ndc esthetic dental clinic malang,"Denlei Diyorossi, Denny Sagita Rusdianto, Aditya Rachmadi",30 Sep 2019
kualitas layanan sistem informasi pelayanan sip metode egovqual studi dinas kependudukan pencatatan sipil kabupaten jember,"Rozi Hendarta, Niken Hendrakusma Wardani, Admaja Dwi Herlambang",30 Sep 2019
aplikasi pembuat gesture samsung gear vr game engine unity,"Dwi Rama Malawat, Muhammad Aminul Akbar, Issa Arwani",30 Sep 2019
hoaks metode maximum entropy seleksi fitur information gain,"Albert Bill Alroy, Putra Pandu Adikara, Sigit Adinugroho",30 Sep 2019
game pembelajaran pengucapan bahasa inggris berbasis pengenalan suara,"Fikri Ihsan Ahmad, Tri Afirianto, Muhammad Aminul Akbar",30 Sep 2019
sistem presensi berbasis lokasi geofence wifi rest api fakultas ilmu komputer universitas brawijaya,"I Gede Tika Permana, Denny Sagita Rusdianto, Lutfi Fanani",30 Sep 2019
aplikasi penentuan prioritas kebutuhan perangkat lunak metode value oriented prioritization vop,"Hanida Aisha, Denny Sagita Rusdianto, Agi Putra Kharisma",30 Sep 2019
perbaikan proses bisnis metode business process improvement bpi studi kantor kesyahbandaran otoritas pelabuhan kelas iii sampit,"Frydo Tio Fernando, Nanang Yudi Setiawan, Andi Reza Perdanakusuma",30 Sep 2019
pengusir hama burung sawah sensor pir metode naive bayes,"Irham Manthiqo Noor, Hurriyatul Fitriyah, Rizal Maulana",30 Sep 2019
usability website malangmenyapamalangkotagoid dinas kebudayaan pariwisata kota malang metode usability testing,"Muhammad Faishal Erwin, Niken Hendrakusma Wardani, Andi Reza Perdanakusuma",30 Sep 2019
penggunaan ganja multidimensional hierarchical classification,"Khairul Rizal, Sigit Adinugroho, Bayu Rahayudi",31 Oct 2019
usability situs web snapixa metode usability testing system usability scale,"Muhammad Aswin Zulhijdi, Retno Indah Rokhmawati, Nanang Yudi Setiawan",31 Oct 2019
metode tokenbased mekanisme autentikasi iot middleware,"Aditya Chamim Pratama, Eko Sakti Pramukantoro, Achmad Basuki",31 Oct 2019
deteksi rem mendadak tabrakan motor sensor akselerometer metode knearest neighbour berbasis arduino,"Musada Teguh Andi Afandi, Hurriyatul Fitriyah, Gembong Edhi Setyawan",31 Oct 2019
protokol dsdv destination sequenced distance vector mobile adhoc network perangkat berbasis nrfl,"I Made Oka Semara Putra, Primantara Hari Trisnawan, Reza Andria Siregar",31 Oct 2019
wireless sensor network sistem keamanan rumah sensor pir fingerprint,"Crisandolin Desman Rumahorbo, Muhammad Hannats Hanafi Ichsan, Agung Setia Budi",31 Oct 2019
aplikasi perangkat bergerak pengobatan tuberculosis berbasis android personal extreme programming studi puskesmas polowijen,"Muhammad Ilham Wibowo, Adam Hendra Brata, Komang Candra Brata",31 Oct 2019
algoritma support vector regression peramalan hasil panen padi studi kabupaten malang,"Dhan Adhillah Mardhika, Budi Darma Setiawan, Randy Cahya Wihandika",31 Oct 2019
sistem informasi monitoring perjalanan dinas pegawai badan pusat statistik kabupaten malang berbasis web api google calendar,"Novia Herdiandini, Widhy Hayuhardhika Nugraha Putra, Buce Trias Hanggara",31 Oct 2019
e commerce pemanfaatan sistem payment gateway studi wisata kampung sapi adventure,"Yuninda Eka Nisrina, Widhy Hayuhardhika Nugraha Putra, Buce Trias Hanggara",31 Oct 2019
aktivitas manusia algoritme decision tree c information gain seleksi fitur,"Vivy Junita, Fitra Abdurrachman Bachtiar",31 Oct 2019
aplikasi web pelacakan harga situs web ecommerce,"Muhammad Fandy Fahreza Ramadhana Fauzi, Satrio Agung Wicaksono, Welly Purnomo",31 Oct 2019
sistem informasi point of sales bengkel berbasis cloud computing studi bengkel mas pur baturaja,"Bella Hersy Lavenia, Widhy Hayuhardhika Nugraha Putra, Buce Trias Hanggara",31 Oct 2019
sistem informasi geografis penanganan bencana berbasis website kota malang,"Galih Alhakim, Fatwa Ramdani, Welly Purnomo",31 Oct 2019
aplikasi rekomendasi kuliner kota malang berbasis mood platform android,"Asti Dhiya Anzaria, Herman Tolle, Ratih Kartika Dewi",31 Oct 2019
usability rancangan antarmuka pengguna situs web fakultas teknik universitas brawijaya metode human centered design hcd,"Tamara Marihot Ratna Tambunan, Hanifah Muslimah Az-Zahra, Niken Hendrakusma Wardani",31 Oct 2019
perbaikan alur navigasi situs web fakultas kedokteran gigi fkg universitas brawijaya pendekatan human centered design hcd,"Nabila Sarah Pradila, Hanifah Muslimah Az-zahra, Retno Indah Rokhmawati",31 Oct 2019
perbaikan desain antarmuka pengguna aplikasi mobile halal tracking metode heuristic evaluation,"Citra Mahardhika Dewi Murti, Herman Tolle, Retno Indah Rokhmawati",31 Oct 2019
aplikasi penyedia buku online berbasis android metode prototyping studi universitas brawijaya,"Linda Shintya Sari, Adam Hendra Brata, Komang Candra Brata",31 Oct 2019
pergerakan kepala berdasarkan analisis deteksi tepi wajah berbasis raspberry pi implementasi pemilihan menu display,"Budi Atmoko, Fitri Utaminingrum",31 Oct 2019
pengelolaan strategi kerangka kerja teknologi informasi dinas komunikasi informatika kota malang cobit,"Hetti Marthaningrum, Admaja Dwi Herlambang, Widhy Hayuhardhika Nugraha Putra",31 Oct 2019
multimedia pembelajaran interaktif berbasis grafis mata pelajaran pemrograman dasar model apped jurusan multimedia smk negeri malang,"Hanif Aulia Kusuma, Hanifah Muslimah Az-zahra, Admaja Dwi Herlambang",31 Oct 2019
aplikasi daily quest aplikasi menangani kemalasan anak platform android,"Aditya Putra Pratama, Agi Putra Kharisma, Randy Cahya Wihandika",31 Oct 2019
gim edukasi virus teknologi augmented reality,"Hrizto Hanie Del Piero, Tri Afirianto, Wibisono Sukmo Wardhono",31 Oct 2019
data titik api metode self organizing map wilayah jawa,"Dika Perdana Sinaga, Putra Pandu Adikara, Yuita Arum Sari",31 Oct 2019
tata kelola keamanan informasi dinas komunikasi informatika kota malang indeks,"Marinda Yunella, Admaja Dwi Herlambang, Widhy Hayuhardhika Nugraha Putra",31 Oct 2019
aplikasi monitoring kesehatan hamil anak terintegrasi,"Ardia Regita Pramesti, Denny Sagita Rusdianto, Heru Nurwarsito",31 Oct 2019
aplikasi pendeteksi kantuk pengendara kendaraan bermotor sensor detak jantung smartwatch,"Imam Farouqi Faisal, Agi Putra Kharisma, Sutrisno Sutrisno",31 Oct 2019
kapabilitas proses pengembangan aplikasi dinas komunikasi informatika kota malang pedoman cmmi dev,"Ikrima Amanda Wulandari, Admaja Dwi Herlambang, Widhy Hayuhardhika Nugraha Putra",31 Oct 2019
usability aplikasi mobile cicilcoid metode heuristic,"Chintia Devi, Buce Trias Hanggara, Retno Indah Rokhmawati",31 Oct 2019
aplikasi perangkat bergerak penyebaran informasi kebutuhan darah darurat pendonor terdekat push notification,"Yanuardi Firmansyah, Agi Putra Kharisma, Wibisono Sukmo Wardhono",31 Oct 2019
sistem deteksi mitigasi serangan distributed denial of service ddos svm classifier arsitektur softwaredefined network sdn,"Jodi Chris Jordan Sihombing, Dany Primanita Kartikasari, Adhitya Bhawiyuga",31 Oct 2019
metode data mining support vector machine naive bayes klasifikasi status kualitas air,"Ricky Marten Sahalatua Tumangger, Nurul Hidayat, Marji Marji",31 Oct 2019
aplikasi food sharing berbasis android,"Bintang Dimas Pambudi Abdul Rozaq, Adam Hendra Brata, Djoko Pramono",31 Oct 2019
sistem manajemen kepegawaian berbasis web studi universitas pgri madiun,"Elkaf Fahrezi Soebianto Putra, Achmad Arwan, Edy Santoso",31 Oct 2019
sistem manajemen inventaris laboratorium rumah sakit berbasis web studi laboratorium rumah sakit jiwa profdrsoerojo magelang,"Tesa Putri Cendani, Denny Sagita Rusdianto, Heru Nurwarsito",31 Oct 2019
kinerja protokol routing rip routing information protocol ospf open shortest path first berbasis ipv,"Muhammad Affan Alvyan, Primantara Hari Trisnawan, Kasyful Amron",31 Oct 2019
sistem informasi pemesanan barang distributor cat metode pengembangan personal extreme programming studi pd sentosa kota bandung,"Ahmad Wicaksana, Satrio Agung Wicaksono, Welly Purnomo",31 Oct 2019
perbaikan antarmuka aplikasi mobile izat aplikasi zero accident assistant bidang k pt pjb up gresik metode humancentered design,"Dienabillah Gita Fitri, Herman Tolle, Hanifah Muslimah Az-zahra",31 Oct 2019
curah hujan metode extreme learning machine,"Rich Juniadi Domitri Simamora, Tibyani Tibyani, Sutrisno Sutrisno",31 Oct 2019
nmodular redundancy fault tolerant system permodelan automatic train protection,"Ira Oktavianti, Rakhmadhany Primananda, Wijaya Kurniawan",31 Oct 2019
web kuliner pendekatan pattern based requirement,"Afifurrijal Afifurrijal, Adam Hendra Brata, Fitra Abdurrachman Bachtiar",31 Oct 2019
penyakit anjing metode promethee,"Aditya Purwa Pangestu, Nurul Hidayat, Ratih Kartika Dewi",31 Oct 2019
metode learning vector quantization lvq klasifikasi persalinan,"Romlah Tantiati, Muhammad Tanzil Furqon, Candra Dewi",31 Oct 2019
usability aplikasi perbankan jenius metode usability testing,"Khairien Nissa, Hanifah Muslimah Az-Zahra, Yusi Tyroni Mursityo",31 Oct 2019
sistem informasi manajemen inventaris barang studi sman malang,"Purbaning Dharma Shanti Handoyo, Satrio Agung Wicaksono, Yusi Tyroni Mursityo",31 Oct 2019
interaksi antarmuka pengguna sistem informasi penjualan balinesia tshirt pendekatan human centered design,"Ni Komang Tri Puspadewi, Ismiarta Aknuranda, Yusi Tyroni Mursityo",31 Oct 2019
sistem informasi manajemen barbershop pendekatan gamification forward chaining studi goodfellas barbershop,"M. Hamzah, Adam Hendra Brata, Eriq Muhammad Adams Jonemaro",31 Oct 2019
sistem aplikasi manajemen proyek kanban framework,"Nurul Faizah, Nurudin Santoso, Arief Andy Soebroto",31 Oct 2019
resep kue tradisional berdasarkan likes retweet metode generalized vector space model,"Berlian Bidari Ratna Sari B, Yuita Arum Sari, Indriati Indriati",31 Oct 2019
berita olahraga berbahasa indonesia metode bm knearest neighbor,"Enggar Septrinas, Indriati Indriati, Arief Andy Soebroto",31 Oct 2019
kinerja protokol zrp zone routing protocol hwmp hybrid wireless mesh protocol manet mobile ad hoc network,"Miftaqul Novandi, Primantara Hari Trisnawan, Reza Andria Siregar",31 Oct 2019
perancangan sistem informasi kesiswaan kursus pemrograman studi clevio coder camp,"Aries Satryadhi Aldana, Adam Hendra Brata, Eriq Muhammad Adams Jonemaro",31 Oct 2019
metode complementary filter pengendali robot mobil gestur tangan manusia,"Samkhya Aparigraha, Wijaya Kurniawan, Agung Setia Budi",31 Oct 2019
kualitas layanan egovernment metode egovqual importanceperformance analysis ipa studi sistem informasi dinas penanaman modal pelayanan terpadu pintu kabupaten bogor,"Seno Naufal Muhammad, Hanifah Muslimah Az-Zahra, Niken Hendrakusma Wardani",31 Oct 2019
media pembelajaran interaktif mata pelajaran desain grafis percetakan model fourd siswa smk negeri malang,"Fajar Ramadhanti, Hanifah Muslimah Az-Zahra, Admaja Dwi Herlambang",31 Oct 2019
bangun sistem klasifikasi kemurnian susu sapi metode naive bayes,"Dimas Rizqi Firmansyah, Dahnial Syauqy, Fitri Utaminingrum",31 Oct 2019
serangan rushing protocol ad hoc on demand distance vector aodv jaringan mobile ad hoc networks manet,"Eldyto Puspa Laksana, Reza Andria Siregar, Achmad Basuki",31 Oct 2019
usability rekomendasi perbaikan tampilan aplikasi ibi library metode usability testing,"Muhammad Rifqi, Hanifah Muslimah Az-Zahra, Admaja Dwi Herlambang",31 Oct 2019
objek penghalang real time berbasis aplikasi mobile metode gray level cooccurrence matrix knearest neighbor penyandang tunanetra,"Rizky Haris Risaldi, Fitri Utaminingrum",31 Oct 2019
aplikasi barberman rate berbasis web studi prosperous barbershop,"Kevin Romero, Adam Hendra Brata, Lutfi Fanani",31 Oct 2019
aplikasi perangkat bergerak layanan berbasis lokasi penghubung sukarelawan kegiatan sukarela,"Rahmatsyah Rahmatsyah, Agi Putra Kharisma, Sutrisno Sutrisno",31 Oct 2019
customer intent tingkat kepuasan pelanggan metode support vector machine restoran bakso president,"Julia Ferlin, Fitra Abdurrachman Bachtiar, Alfi Nur Rusydi",31 Oct 2019
procedural content generation perancangan karakter d endless runner game metode genetic algorithm,"Abdurrahman Prawira Purmiaji, Eriq Muhammad Adams Jonemaro, Muhammad Aminul Akbar",31 Oct 2019
usability aplikasi mobile usability testing system usability scale sus studi soco althea sephora,"Raisadya Hemas Pawestri, Hanifah Muslimah Az-Zahra, Alfi Nur Rusydi",31 Oct 2019
emodul mata pelajaran sistem komputer kelas x program keahlian teknik komputer jaringan smk negeri malang model pengembangan d,"Rizka Hikma Damayanti, Hanifah Muslimah Az-Zahra, Satrio Hadi Wijoyo",31 Oct 2019
user experience perspectivebased inspection pengembangan scrum situs web ptnodeflux indonesia,"Kristina Lely Liana, Retno Indah Rokhmawati, Adam Hendra Brata",31 Oct 2019
sistem pencarian sponsorship partnership berbasis web,"Ana Kusuma Ardani, Denny Sagita Rusdianto, Arief Andy Soebroto",31 Oct 2019
antarmuka website elearning meningkatkan minat belajar pemrograman dasar bahasa pemrograman java mahasiswa fakultas ilmu komputer universitas brawijaya,"Fatur Rahnat Ariyan, Retno Indah Rokhmawati, Komang Candra Brata",31 Oct 2019
deteksi klasifikasi pergerakan kepala knearest neighbor,"Nikmatus Soleha, Dahnial Syauqy, Eko Setiawan",31 Oct 2019
aplikasi belajar pegon berbasis android menerapkan metode user centered design,"Evi Irhamillah Azza, Adam Hendra Brata, Arief Andy Soebroto",31 Oct 2019
tweet berbahasa indonesia berisi ujaran kebencian metode improved knearest neighbor pembobotan bmf,"Nurdifa Febrianti, Indriati Indriati, Muhammad Tanzil Furqon",31 Oct 2019
incident management problem management sistem informasi manajemen rumah sakit simrs rumah sakit daerah kanjuruhan kabupaten malang framework itil v,"Athayya Salsabila Anandityo, Yusi Tyroni Mursityo, Suprapto Suprapto",31 Oct 2019
deteksi tingkat kematangan tapai singkong berdasarkan data sensor ph kadar alkohol berbasis embedded system,"Nurul Ikhsan, Dahnial Syauqy, Agung Setia Budi",31 Oct 2019
aplikasi entertaiment terminal berbasis sistem kendali head movement control system perangkat ios,"Arifin Firdaus, Adam Hendra Brata, Herman Tolle",31 Oct 2019
aplikasi white label ppob berbasis web pemodelan reuse oriented development studi pt xyz,"Andi Hafiidh, Herman Tolle, Welly Purnomo",31 Oct 2019
sistem informasi penilaian hasil belajar siswa berbasis web sma brawijaya smart school,"Siti Masyruhatin, Yusi Tyroni Mursityo, Djoko Pramono",31 Oct 2019
klasifikasi ikan tongkol mengandung formalin sensor hcho sensor ph metode knearest neighbor berbasis arduino,"Dedi Siswanto, Dahnial Syauqy, Agung Setia Budi",31 Oct 2019
usability sistem informasi antrian rumah sakit krakatau hospital system metode pattern based usability testing,"Rahadyan Nandiwardhana, Widhy Hayuhardhika Nugraha Putra, Buce Trias Hanggara",31 Oct 2019
pengalaman pengguna sistem pembelajaran etika komunikasi mahasiswa universitas brawijaya konsep gamifikasi pendekatan player centered design,"Mohammad Khaufillah, Hanifah Muslimah Az-Zahra, Buce Trias Hanggara",31 Oct 2019
feedforward neural network particle swarm optimization memprediksi pertumbuhan penduduk kota malang,"Andini Agustina, Muhammad Tanzil Furqon, Marji Marji",31 Oct 2019
sistem aplikasi penjadwalan pendampingan mahasiswa disabilitas studi pusat studi layanan disabilitas universitas brawijaya,"Dama Yuliana, Bayu Priyambadha, Arief Andy Soebroto",31 Oct 2019
sistem aplikasi manajemen transaksi pembelian penjualan produksi studi pt abadi ario sekawan,"Amira Ibtisama, Bayu Priyambadha, Arief Andy Soebroto",31 Oct 2019
filter mahony tracking system pergerakan orientasi posisi kepala berskala ruang,"Muhammad Kholash Fadhilah, Dahnial Syauqy, Eko Setiawan",31 Oct 2019
arsitektur bisnis pelayanan publik polres bojonegoro pendekatan enterprise architecture,"Dea Ayu Permatasari, Aditya Rachmadi, Welly Purnomo",31 Oct 2019
perbaikan alur navigasi website sma negeri banjarmasin pendekatan human centered design hcd,"Intan Rahmawati, Hanifah Muslimah Az-zahra, Retno Indah Rokhmawati",31 Oct 2019
sistem aplikasi heloners platform penyewaan jasa perawat,"Renaldin Suinto Zai, Denny Sagita Rusdianto, Eriq Muhammad Adams Jonemaro",31 Oct 2019
metode fuzzy knearest neighbour fknn diagnosis penyakit kucing,"Hardyan Zalfi, Agus Wahyu Widodo, Bayu Rahayudi",31 Oct 2019
sentimen kebijakan pemindahan ibukota republik indonesia algoritme termbased random sampling metode klasifikasi naive bayes,"Akhmad Sa'rony, Putra Pandu Adikara, Randy Cahya Wihandika",31 Oct 2019
tertanam pendeteksi kondisi ideal fermentasi susu kefir berdasarkan kadar alkohol ph metode naive bayes,"Izza Febria Nurhayati, Dahnial Syauqy, Rizal Maulana",31 Oct 2019
video conference file sharing webrtc,"Fathi Nur Azzam, Dany Primanita Kartikasari, Fariz Andri Bakhtiar",31 Oct 2019
pendeteksi kesegaran ikan bandeng berdasarkan bau warna daging berbasis sensor mq tcs metode naive bayes,"Govinda Dwi Kurnia Sandi, Dahnial Syauqy, Rizal Maulana",31 Oct 2019
emodul pembelajaran pemrograman dasar metode research and development studi smk negeri malang,"Eko Bagus Prasetyoadi, Retno Indah Rokhmawati, Satrio Agung Wicaksono",31 Oct 2019
kinerja teknologi streaming http pseudostreaming dash jaringan area kampus gedung d e filkom ub,Sarah Fitriannisa Ruzis,31 Oct 2019
distance pencarian resep kue tradisional berdasarkan ketersediaan bahan makanan,"Febriana Ranta Lidya, Yuita Arum Sari, Indriati Indriati",31 Oct 2019
website manajemen persuratan balai pemasyarakatan klas malang metode prototyping,"Prita Nur Rizky Faridiani, Adam Hendra Brata, Komang Candra Brata",31 Oct 2019
sistem informasi penerimaan peserta didik ppdb jalur mandiri studi sma negeri blitar,"Asha Akbar Permana, Satrio Agung Wicaksono, Niken Hendrakusma Wardani",31 Oct 2019
emosi lagu berdasarkan lirik teks berbahasa indonesia knearest neighbor pembobotan widf,"Diajeng Ninda Armianti, Indriati Indriati, Sigit Adinugroho",31 Oct 2019
sentimen review produk smartphone dokumen twitter berbahasa indonesia metode knearest neighbor pembobotan likes,"Siti Robbana, Indriati Indriati, Randy Cahya Wihandika",31 Oct 2019
gangguan jiwa skizofrenia algoritme decision tree c,"Febriyani Riyanda, Imam Cholissodin, Sutrisno Sutrisno",31 Oct 2019
sistem informasi semester fakultas ilmu komputer universitas brawijaya,"Winda Silviana, Denny Sagita Rusdianto, Heru Nurwarsito",31 Oct 2019
kakas bantu pembangkitan kebutuhan pengguna berdasarkan model proses bisnis,"Muhammad Faiz Takwa, Denny Sagita Rusdianto, Eriq Muhammad Adams Jonemaro",31 Oct 2019
citra kue tradisional indonesia berdasarkan ekstraksi fitur warna rgb color moment knearest neighbor,"Fida Dwi Febriani, Yuita Arum Sari, Randy Cahya Wihandika",31 Oct 2019
rekomendasi wisata kota batu metode voting borda berdasarkan metode topsis promethee,"Rivaldy Raihan Syams, Arief Andy Soebroto",31 Oct 2019
pemetaan geografis jalan rusak berbasis mobile location based service studi kota malang,"Ilham Rachmad Zunaidi, Tri Afirianto, Komang Candra Brata",31 Oct 2019
sistem informasi manajemen reservasi safa guesthouse malang,"Dwi Susanti, Nurudin Santoso, Lutfi Fanani",31 Oct 2019
bangun sistem pengaturan kecepatan otomatis tetesan infus pasien berdasarkan uji linieritas,"Mohammad Sezar Nusti Ilhami, Fitri Utaminingrum",31 Oct 2019
aplikasi berbasis android monitoring hasil belajar siswa smk negeri malang orang tua,"Muhammad Farabi Ismail, Admaja Dwi Herlambang, Satrio Agung Wicaksono",31 Oct 2019
data mirroring metode hot standby redundancy berbasis protokol ic arduino uno,"Arif Nur Agung Laksana, Wijaya Kurniawan, Agung Setia Budi",31 Oct 2019
penyimpangan tumbuh kembang anak algoritme c,"Dyah Ayu Wahyuning Dewi, Imam Cholissodin, Sutrisno Sutrisno",31 Oct 2019
low power mode sistem pemberi pakan minum ternak ayam potong berdasarkan berbasis arduinomega,"Rahmat Yanuar Putra, Mochammad Hannats Hanafi Ichsan, Agung Setia Budi",31 Oct 2019
tata kelola teknologi informasi bidang aplikasi informatika dinas komunikasi informatika kabupaten madiun kerangka kerja cobit domain deliver and support ds monitor and evaluate me,"Rahmania Kumalasari, Yusi Tyroni Mursityo, Suprapto Suprapto",31 Oct 2019
