Judul,Penulis,Tahun
jaringan syaraf tiruan backpropagation mendiagnosis penyakit kulit anak,"Rokky Septian Suhartanto, Candra Dewi, Lailil Muflikah",31 Jul 2017
aplikasi health communication board berbasis kendali pergerakan linear hemocs head movement control system,"Ivan Putera Pratama, Herman Tolle, Hanifah Muslimah Az-Zahra",31 Jul 2017
komposisi pakan penggemukan sapi potong algoritma genetika,"Muhammad Noor Taufiq, Candra Dewi, Wayan Firdaus Mahmudy",31 Jul 2017
jenis autis anak usia metode linear discriminant analysis lda,"Edwar Budiman, Edy Santoso, Tri Afirianto",31 Jul 2017
performansi skalabilitas eventbased iot middleware,"Mohammad Fahrur Rozi, Eko Sakti Pramukantoro, Kasyful Amron",31 Jul 2017
pendukung keputusan penentuan tingkat keparahan autis metode fuzzy knearest neighbor,"Robbiyatul Munawarah, Muhammad Tanzil Furqon, Lailil Muflikhah",31 Jul 2017
sistem informasi bimbingan konseling siswa smp negeri panarukan,"Ahmad Taufiq Hidayatullah, Fajar Pradana, Mochammad Chandra Saputra",31 Jul 2017
bangun aplikasi messaging berbasis voice interaction penderita tunanetra sistem operasi android,"Leo Tiofan Justicia, Herman Tolle, Faizatul Amalia",31 Jul 2017
bangun aplikasi sistem informasi manajemen laboratorium biomedik fakultas kedokteran universitas brawijaya,"Ahmad Leo Yudanto, Herman Tolle, Adam Hendra Brata",31 Aug 2017
data kejadian tsunami disebabkan gempa bumi algoritma kmedoids,"Daniel Alex Saroha Simamora, Muhammad Tanzil Furqon, Bayu Priyambadha",31 Aug 2017
usability website jawa timur park group heuristic evaluation,"Irsalina Khairina, Suprapto Suprapto, Niken Hendrakusma Wardani",31 Aug 2017
monitoring cairan infus terpusat pengolahan citra digital,"Ringga Aulia Primahayu, Fitri Utaminingrum, Dahnial Syauqy",31 Aug 2017
centralized smarthome simulator solusi penghematan biaya listrik algoritma kmeans,"Putri Laras Rinjani, Edita Rosana Widasari, Rizal Maulana",31 Aug 2017
model himpunan keanggotaan fuzzy algoritme evolution strategies data diagnosis penyakit sapi potong,"Dyan Putri Mahardika, Wayan Firdaus Mahmudy, Agus Wahyu Widodo",31 Aug 2017
metode pengalamatan dinamis treecast sinkronisasi reference broadcast synchronization sensor network,"Maulita Intan Kripsita, Sabriansyah Rizqika Akbar, Mochammad Hannats Hanafi Ichsan",31 Aug 2017
aplikasi respons sms panggilan telepon android text to speech proximity sensor pengemudi mobil,"Mariani Mariani, Herman Tolle, Mahardeka Tri Ananta",31 Aug 2017
arduino code builder sistem simulator smart home rule terdistribusi,"Hery Julianto Situmorang, Edita Rosana Widasari, Sabriansyah Rizqika Akbar",31 Aug 2017
perlindungan peretasan google in app purchase metode one time server side verfication verification bypass detection obfuscator aplikasi informasi cuaca android,"M Faizal Putra Pradana, Agi Putra Kharisma, Komang Candra Brata",31 Aug 2017
mixed reality sarana pembelajaran indera penglihatan manusia teknologi hologram,"Arifaldi Jayaputra, Herman Tolle, Wibisono Sukmo Wardhono",30 Sep 2017
metode kmedoids clustering pengelompokan data potensi kebakaran hutanlahan berdasarkan persebaran titik panas hotspot,"Dyang Falila Pramesti, Muhammad Tanzil Furqon, Candra Dewi",30 Sep 2017
pendukung keputusan budidaya tanaman cabai berdasarkan prediksi curah hujan,"Hilal Imtiyaz, Barlian Henryranu Prasetio, Nurul Hidayat",30 Sep 2017
game karambol interactive projected display,"Bima Tri Atmaja, Eriq M. Adams Jonemaro, Issa Arwani",30 Sep 2017
